Name,playerid,tot
JT Brubaker,sa875176,42.1
Kent Emanuel,sa549399,42.1
Sam Howard,16265,41.1
Penn Murfee,sa3006775,41.1
Taylor Clarke,17611,40.3
Phillips Valdez,15605,38.500000000000014
Jesus Tinoco,16300,38.199999999999996
Luis Escobar,17345,38.1
Matthew Festa,19330,37.3
Michael Baumann,sa829681,37.20000000000002
Luke Farrell,15101,36.3
Jimmy Herget,17556,35.89999999999999
Jose Rodriguez,17860,35.3
Michael King,19853,34.600000000000016
Chance Adams,18135,34.3
Wei-Chieh Huang,17508,33.3
Trey Supak,sa828707,31.600000000000016
Nolan Blackwood,sa874212,31.5
Justin Lawrence,sa875567,30.5
Jordan Holloway,sa829245,30.1
Spencer Adams,sa828687,30.00000000000003
Jackson McClelland,sa659000,29.299999999999997
Alec Hansen,sa738344,28.89999999999999
Kyle Hart,sa918414,28.600000000000016
Ben Bowden,sa873701,27.799999999999994
Josh D. Smith,13629,27.799999999999994
Bubba Derby,sa875183,27.600000000000016
Wei-Yin Chen,13071,27.2
Joel Payamps,14332,27.2
Craig Brooks,sa875197,26.799999999999994
Angel Perdomo,sa658084,26.799999999999994
Nick Margevicius,20395,25.2
Michael Shawaryn,19495,24.2
Kodi Whitley,sa3004708,24.2
Ben Braymer,sa918477,22.600000000000016
Aaron Brooks,12272,22.599999999999998
Heath Fillmyer,17466,22.2
Stephen Nogosek,19545,20.2
Jake Bray,sa738576,19.700000000000003
Ryan Castellani,sa828689,19.00000000000002
Joe Barlow,sa919113,18.799999999999994
Kodi Medeiros,sa828664,18.2
Huascar Ynoa,20468,15.1
Bobby Poyner,17987,13.1
Thomas Hatch,sa738514,13.1
Alexander Guillen,sa737454,13.1
James Kaprielian,sa658943,13.1
Tyler Zuber,sa915650,13.1
Josh Sborz,18323,13.1
Eric Yardley,15538,11.1
Blake Taylor,sa737558,10.1
Andrew Vasquez,19482,10.1
Garrett Nuss,sa599500,6.800000000000001
Gage Hinsz,sa829024,6.800000000000001
Justin Grimm,11720,6.800000000000001
Justin Kamplain,sa599231,6.800000000000001
Ivan Vieitez,sa875869,6.800000000000001
Justin Haley,13572,6.800000000000001
Ivan Pineyro,sa597101,6.800000000000001
Justin Hancock,12316,6.800000000000001
Ian Krol,10066,6.800000000000001
Ivan Pelaez,sa3004441,6.800000000000001
Garrett Whitlock,sa3005306,6.800000000000001
Justin Marks,10265,6.800000000000001
Ian Clarkin,sa737534,6.800000000000001
Huston Street,8258,6.800000000000001
Isaac Anderson,sa738925,6.800000000000001
Kyle Hunter,sa550211,6.800000000000001
Ian Oxnevad,sa875209,6.800000000000001
Ian Gardeck,sa598115,6.800000000000001
Gaudencio Aguirre,sa185590,6.800000000000001
Justin Masterson,2038,6.800000000000001
J.P. Howell,8245,6.800000000000001
Justin Donatella,sa875616,6.800000000000001
Juan Hillman,sa874796,6.800000000000001
Jack Wynkoop,sa875060,6.800000000000001
Jackson Kowar,sa3008273,6.800000000000001
Julian Garcia,sa918182,6.800000000000001
Juan Paniagua,sa506892,6.800000000000001
Kyle Lloyd,15378,6.800000000000001
Juan Minaya,10341,6.800000000000001
Juan Mercedes,sa3002818,6.800000000000001
Juan Martinez,sa657740,6.800000000000001
Juan Delgadillo,sa509260,6.800000000000001
Jack Labosky,sa3006809,6.800000000000001
Kyle Lobstein,9178,6.800000000000001
Josiah Gray,sa3007475,6.800000000000001
Joshua Torres,sa659907,6.800000000000001
Kyle Lohse,739,6.800000000000001
Gabriel Arias,sa507276,6.800000000000001
Jackson Stephens,14420,6.800000000000001
Josh Zeid,6527,6.800000000000001
Jackson Stoeckinger,sa3005031,6.800000000000001
Gabriel Garcia,sa504069,6.800000000000001
Jack Anderson,sa874072,6.800000000000001
